Keyword,Avg. monthly searches,Competition,Top of page bid (low range),Top of page bid (high range),source_file
ремонт электросамокатов харьков,140,Средний,"1,43","22,85",Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электросамокатов,70,Низкий,"1,94","24,00",Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт самокатов харьков,50,Средний,"1,36","25,00",Keyword Stats 2026-05-14 at 17_17_56.csv
ремонт электровелосипедов харьков,50,Средний,"2,00","10,12",Keyword Stats 2026-05-14 at 17_22_01.csv
сервисный центр xiaomi харьков,50,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт электроскутеров харьков,30,Низкий,"1,27","9,45",Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi сервисный центр харьков,20,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ремонт электровелосипеда,20,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
ремонт электросамокатов в харькове,20,Средний,"1,68","15,35",Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo s3 не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
kugoo сервисный центр,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
ninebot не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ninebot не заряжается,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
ninebot самокат не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi m365 не включается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi m365 не заряжается,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
xiaomi ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi сервис,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_30_18.csv
xiaomi сервис харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
xiaomi харьков сервисный центр,10,Средний,,,Keyword Stats 2026-05-14 at 17_21_21.csv
гироскутер ремонт,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
диагностика электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
замена контроллера электросамоката,10,Высокий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
замена экрана xiaomi харьков,10,Низкий,,,Keyword Stats 2026-05-14 at 17_30_18.csv
мастер по ремонту электросамокатов,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
мастерская по ремонту электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_22_01.csv
мастерские по ремонту электровелосипедов,10,Низкий,,,Keyword Stats 2026-05-14 at 17_29_49.csv
настройка электросамоката,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_21_21.csv
не включается самокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не включается самокат kugoo s3,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не включается электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не едет электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
не заряжается самокат,10,Неизвестно,,,Keyword Stats 2026-05-14 at 17_17_56.csv
не заряжается электросамокат,10,Низкий,,,Keyword Stats 2026-05-14 at 17_17_56.csv
неисправности электросамоката,10,Низкий,,,Keyword Stats 2026-05-14 at 17_21_21.csv
