"Stage","URL","Page","MainQuery","Intent","Blocks","Priority"
"1","/remont-elektrotransportu/","Ремонт електротранспорту у Харкові та Києві","ремонт электротранспорта","выбор типа устройства и города","категории, города, цены от, преимущества, FAQ","Высокий"
"1","/remont-elektrosamokativ-kharkiv/","Ремонт електросамокатів у Харкові","ремонт электросамокатов Харьков","сервис, цена, адрес, срок","hero, цены, поломки, бренды, процесс, FAQ, контакты","Высокий"
"1","/remont-elektrosamokativ-kyiv/","Ремонт електросамокатів у Києві","ремонт электросамокатов Киев","сервис в Киеве","hero, цены, поломки, бренды, процесс, FAQ, контакты","Высокий"
"1","/remont-elektroskuteriv-kharkiv/","Ремонт електроскутерів у Харкові","ремонт электроскутеров Харьков","ремонт электроскутера","батарея, контроллер, проводка, силовая часть, цены, FAQ","Высокий"
"1","/remont-elektroskuteriv-kyiv/","Ремонт електроскутерів у Києві","ремонт электроскутеров Киев","сервис электроскутеров в Киеве","батарея, контроллер, проводка, силовая часть, цены, FAQ","Высокий"
"2","/remont-hiroskuteriv/","Ремонт гіроскутерів","ремонт гироскутеров","ремонт устройства","поломки, цены, бренды, FAQ, ссылки на города","Средний"
"2","/remont-hirobordiv/","Ремонт гіробордів","ремонт гиробордов","ремонт похожего устройства","платы, батареи, корпус, зарядка, FAQ","Средний"
"2","/remont-monokolis/","Ремонт моноколіс","ремонт моноколес","узкий кластер","батареи, контроллеры, мотор, корпус, безопасность","Средний"
"2","/remont-elektrovelosypediv/","Ремонт електровелосипедів","ремонт электровелосипедов","дополнительный охват","мотор, батарея, дисплей, проводка, контроллер","Средний"
"3","/remont-elektrosamokativ-xiaomi/","Ремонт електросамокатів Xiaomi","ремонт электросамоката Xiaomi","ремонт конкретного бренда","модели, типовые поломки, цены, FAQ","После проверки спроса"
"3","/remont-akumuliatora-elektrosamokata/","Ремонт акумулятора електросамоката","ремонт батареи электросамоката","конкретная проблема","симптомы, диагностика, цена, сроки, безопасность","После проверки спроса"
