Этап,URL,Страница,Главный запрос,Запросов в ядре,Сумма частотности из выгрузок,Топ запросы с частотностью,Решение,Приоритет
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,ремонт электротранспорта,6,0,,Хаб-страница,Высокий
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,ремонт электросамокатов харьков,57,560,ремонт электросамокатов харьков (140); ремонт электросамокатов (70); ремонт самокатов харьков (50); ремонт электросамокатов в харькове (20); электросамокат ремонт (10); электросамокат быстро разряжается (10),Отдельная SEO-страница,Максимальный
1,/remont-elektrosamokativ-kyiv/,Ремонт електросамокатів у Києві,ремонт электросамокатов киев,5,0,,Отдельная SEO-страница после харьковского эталона,Высокий
1,/remont-elektroskuteriv-kharkiv/,Ремонт електроскутерів у Харкові,ремонт электроскутеров харьков,5,40,ремонт электроскутеров харьков (30); электроскутер ремонт (10),Отдельная SEO-страница,Высокий
1,/remont-elektroskuteriv-kyiv/,Ремонт електроскутерів у Києві,ремонт электроскутеров киев,4,0,,Отдельная SEO-страница,Высокий
2,/remont-elektrovelosypediv/,Ремонт електровелосипедів,ремонт электровелосипедов харьков,13,150,ремонт электровелосипедов харьков (50); ремонт электровелосипеда (20); мастерская по ремонту электровелосипедов (10); мастерские по ремонту электровелосипедов (10); ремонт зарядного устройства электровелосипеда (10); ремонт контроллера электровелосипеда (10),"Отдельная страница, спрос есть",Высокий/средний
2,/remont-hiroskuteriv/,Ремонт гіроскутерів,ремонт гироскутеров,12,120,гироскутер ремонт (10); переделка гироскутера под ручку газа (10); починка гироскутера (10); ремонт аккумулятора гироскутера (10); ремонт батареи гироскутера (10); ремонт гироскутер (10),Отдельная страница второго этапа,Средний
2,/remont-hirobordiv/,Ремонт гіробордів,ремонт гиробордов,5,30,ремонт гироборда (10); ремонт гиробордов (10); ремонт гіроборда (10),Отдельная страница второго этапа,Средний
2,/remont-monokolis/,Ремонт моноколіс,ремонт моноколес,5,20,ремонт моноколес (10); ремонт моноколеса (10),Отдельная страница второго этапа,Средний
3,/remont-elektrosamokativ-xiaomi/,Ремонт електросамокатів Xiaomi,ремонт электросамокатов xiaomi,13,90,xiaomi m365 не включается (10); xiaomi m365 не заряжается (10); ремонт зарядки xiaomi (10); ремонт самоката xiaomi (10); ремонт самокатов сяоми (10); ремонт электросамокатов xiaomi (10),Пока блок бренда внутри страницы самокатов,После проверки
3,/remont-akumuliatora-elektrosamokata/,Ремонт акумулятора електросамоката,ремонт батареи электросамоката,10,40,не заряжается самокат (10); не заряжается электросамокат (10); самокат не заряжается (10); электросамокат не заряжается (10),Пока блок поломки внутри страницы самокатов,После проверки
3,/remont-kontrolera-elektrosamokata/,Ремонт контролера електросамоката,ремонт контроллера электросамоката,14,120,замена контроллера электросамоката (10); не включается самокат (10); не включается электросамокат (10); не едет электросамокат (10); ремонт контроллера электросамоката (10); самокат выключился и не включается (10),Пока блок поломки внутри страницы самокатов,После проверки
