Этап,URL,Страница,Город,Тип,Запрос,Язык,Роль запроса,Интент,Частотность/мес,Конкуренция Ads,Ставка low,Ставка high,Решение,Приоритет,Источник
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,ремонт електротранспорту київ,UA,Коммерческий city-запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,ремонт електротранспорту харків,UA,Коммерческий city-запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,ремонт персонального электротранспорта,RU,Основной/дополнительный запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,ремонт электротранспорта киев,RU,Коммерческий city-запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,ремонт электротранспорта харьков,RU,Коммерческий city-запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrotransportu/,Ремонт електротранспорту у Харкові та Києві,Харків + Київ,електротранспорт,сервис электротранспорта,RU,Основной/дополнительный запрос,Выбрать тип электротранспорта и перейти на нужную услугу,,,,,Хаб-страница,Высокий,Из переписки/маска для проверки
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",140,Средний,"1,43","22,85",Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов,RU,Основной/дополнительный запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",70,Низкий,"1,94","24,00",Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_21_21.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт самокатов харьков,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",50,Средний,"1,36","25,00",Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
1,/remont-elektrosamokativ-kharkiv/,Ремонт електросамокатів у Харкові,Харків,електросамокат,ремонт электросамокатов в харькове,RU,Коммерческий city-запрос,"Найти сервис по электросамокату в Харькове, цену, срок, адрес",20,Средний,"1,68","15,35",Отдельная SEO-страница,Максимальный,Keyword Stats 2026-05-14 at 17_17_56.csv
