Кластер;Запит;Мова;Інтент;Пріоритет;Куди використовувати
Основний;ремонт электросамокатов kugoo харьков;RU;Знайти сервіс Kugoo у Харкові;Високий;Title, H1 сенс, вступ, мета
Основний;ремонт электросамоката kugoo харьков;RU;Ремонт конкретного самоката Kugoo;Високий;Вступ, SEO-текст
Основний;ремонт електросамокатів kugoo харків;UA;Український варіант основного запиту;Високий;H1, H2, перший екран
Сервіс;сервис kugoo харьков;RU;Пошук майстерні/сервісу;Середній;Блок довіри, контакти
Модель;ремонт kugoo m4 pro харьков;RU;Конкретна модель M4 Pro;Високий;Блок моделей, FAQ
Модель;ремонт kugoo s3 харьков;RU;Компактна S-серія;Середній;Блок моделей
Модель;ремонт kugoo g booster харьков;RU;Потужна модель;Середній;Блок моделей
Поломка;kugoo не включается;RU;Симптом запуску;Середній;Симптоми, внутрішні посилання
Поломка;kugoo не заряжается;RU;Симптом зарядки;Середній;Симптоми, ціни, внутрішні посилання
Поломка;ремонт контроллера kugoo;RU;Компонентний ремонт;Високий;Блок робіт, посилання на контролер
Поломка;ремонт мотор колеса kugoo;RU;Компонентний ремонт;Середній;Блок робіт, посилання на мотор-колесо
Поломка;люфт рулевой стойки kugoo;RU;Механічна проблема;Середній;Окремий блок Kugoo
Поломка;ремонт тормозов kugoo;RU;Механіка/безпека;Середній;Блок робіт, FAQ
