Кластер,Запит,Язык,Интент,Приоритет,Куда использовать
Основной,ремонт электросамокатов ninebot харьков,RU,Найти сервис Ninebot в Харькове,Высокий,"Title, H1"
Основной,ремонт електросамокатів ninebot харків,UA,Брендовый ремонт Ninebot,Высокий,"H1, hero"
Модель,ремонт ninebot es2 харьков,RU,Ремонт ES2,Средний,Models block
Модель,ремонт ninebot es4 харьков,RU,Ремонт ES4 с батареей,Средний,ES4 block
Модель,ремонт ninebot max g30 харьков,RU,Ремонт Max G30,Средний,Max G30 block
Симптом,ninebot не заряжается,RU,Проблема зарядки,Высокий,Links to not charging
Симптом,ninebot не включается,RU,Проблема запуска,Высокий,Links to not powering
Узел,ремонт аккумулятора ninebot,RU,АКБ/BMS,Средний,Battery block
Узел,ремонт контроллера ninebot,RU,Контролер,Средний,Controller block
Вода,ninebot после воды,RU,Коррозия/залитие,Средний,Water block
