Кластер;Запит;Мова;Інтент;Пріоритет;Куди використовувати
Основний;ремонт электровелосипеда giant харьков;RU;Знайти ремонт Giant e-bike у Харкові;Середній;Title, H1 сенс, вступ
Основний;ремонт електровелосипеда giant харків;UA;Український варіант запиту;Середній;H1/H2, текст
Основний;ремонт электротранспорта giant харьков;RU;Брендовий ремонт електротранспорту;Середній;Title, опис
Сервіс;сервис giant харьков;RU;Пошук сервісу бренду;Низький/середній;Контакти, довіра
Поломка;giant не заряжается;RU;Проблема зарядки;Середній;Симптоми, FAQ
Поломка;giant не включается;RU;Проблема запуску;Середній;Симптоми
Компонент;ремонт батареи giant;RU;АКБ/BMS;Середній;Блок робіт
Компонент;ремонт контроллера giant;RU;Контролер;Низький/середній;Блок робіт
Компонент;ремонт дисплея giant;RU;Дисплей/помилки;Низький/середній;Блок вузлів
Компонент;ремонт мотора giant;RU;Мотор/датчики;Низький/середній;Блок вузлів
