Priority,Cluster,Query,Lang,Intent,PageBlock,Note
P1,Основной коммерческий,ремонт контролера електросамоката харків,UA,Коммерческий,"Hero, Title, диагностика, цены",Главный UA запрос
P1,Основной коммерческий,ремонт контроллера электросамоката харьков,RU,Коммерческий,"Hero, текст, FAQ",Русский спрос учитывать аккуратно
P1,Плата управления,ремонт плати електросамоката харків,UA,Коммерческий,"Причины, диагностика",Синоним контролера
P1,Плата управления,ремонт платы электросамоката харьков,RU,Коммерческий,"Причины, диагностика",Синоним контролера
P1,Симптом не едет,електросамокат не їде харків,UA,Проблема + сервис,"Симптомы, диагностика",Очень важный симптом
P1,Симптом не едет,электросамокат не едет харьков,RU,Проблема + сервис,"Симптомы, диагностика",Очень важный симптом
P1,Рывки,електросамокат смикається харків,UA,Проблема,"Симптомы, причины",Контролер/мотор/датчики
P1,Рывки,электросамокат дергается харьков,RU,Проблема,"Симптомы, причины",Контролер/мотор/датчики
P2,После воды,ремонт контролера електросамоката після води,UA,Срочная проблема,"Причины, предупреждение",Связать со страницей воды
P2,После воды,ремонт контроллера электросамоката после воды,RU,Срочная проблема,"Причины, предупреждение",Связать со страницей воды
P2,Ошибки,помилка контролера електросамоката,UA,Инфо+сервис,"FAQ, симптомы",Коды ошибок раскрыть общо
P2,Ошибки,ошибка контроллера электросамоката,RU,Инфо+сервис,"FAQ, симптомы",Коды ошибок раскрыть общо
P2,Замена,заміна контролера електросамоката харків,UA,Коммерческий,"Цены, ремонт или замена",Вариант после диагностики
P2,Замена,замена контроллера электросамоката харьков,RU,Коммерческий,"Цены, ремонт или замена",Вариант после диагностики
P2,Датчики Холла,датчики холла електросамокат не їде,UA/RU,Технический,"Диагностика, причины",Не делать отдельной страницей пока
P2,MOSFET,ремонт mosfet контролера електросамоката,UA/RU,Технический,Диагностика,"Низкочастотный, повышает экспертность"
P3,Бренд,xiaomi ремонт контролера,UA/RU brand,Брендовый,Бренды,Пока без отдельной страницы
P3,Бренд,ninebot ремонт контроллера,RU brand,Брендовый,Бренды,Пока без отдельной страницы
P3,Бренд,kugoo ремонт контроллера,RU brand,Брендовый,Бренды,Пока без отдельной страницы
P3,Без города,чому електросамокат не їде,UA,Информационный,FAQ,Ловить инфохвост
P3,Без города,почему электросамокат не едет,RU,Информационный,FAQ,Ловить инфохвост
