"Key","MayClicks","JunClicks","ClickDelta","MayImpressions","JunImpressions","ImpressionDelta","MayCtr","JunCtr","CtrDelta","MayPos","JunPos","PosDelta"
"https://inservic.com.ua/service/rem-gen/","24","8","-16","725","804","79","3,31","1","-2,32","27,01","16,11","-10,9"
"https://inservic.com.ua/ru/remont-jelektrosamokatov-kharkov/","44","34","-10","979","964","-15","4,49","3,53","-0,97","8,38","10,69","2,31"
"https://inservic.com.ua/","37","31","-6","1097","1313","216","3,37","2,36","-1,01","7,15","7,67","0,52"
"https://inservic.com.ua/contact/","7","2","-5","314","499","185","2,23","0,4","-1,83","5,33","9,86","4,53"
"https://inservic.com.ua/vyklyk-komp-iuternoho-majstra-dodomu-zruchnyj-vyizd-ta-shvydkyj-remont/","8","3","-5","188","255","67","4,26","1,18","-3,08","9,49","7,89","-1,6"
"https://inservic.com.ua/service/rem-el/","9","4","-5","274","241","-33","3,28","1,66","-1,62","10,19","14,19","4"
"https://inservic.com.ua/ru/service/rem-stir/","4","0","-4","709","350","-359","0,56","0","-0,56","14,46","16,09","1,62"
"https://inservic.com.ua/ru/service/remont-invertornikh-generatorov-kharkov/","12","9","-3","1137","1287","150","1,06","0,7","-0,36","25,12","23,81","-1,31"
"https://inservic.com.ua/ru/service/remont-y-obsluzhyvanye-jelektrosamoka/","11","9","-2","264","329","65","4,17","2,74","-1,43","13,52","16,42","2,91"
"https://inservic.com.ua/ru/service/vyezdnoj-kompiuternyj-master-ot-inservic/","4","2","-2","1037","751","-286","0,39","0,27","-0,12","27,19","25,77","-1,42"
"https://inservic.com.ua/service/notebook/","2","0","-2","210","246","36","0,95","0","-0,95","27,78","17,15","-10,63"
"https://inservic.com.ua/ru/service/remont-y-obsluzhyvanye-planshetov-y-tel/","2","0","-2","72","172","100","2,78","0","-2,78","25","15,08","-9,92"
"https://inservic.com.ua/ru/zamena/","2","0","-2","78","67","-11","2,56","0","-2,56","11,63","10,3","-1,33"
"https://inservic.com.ua/service/smartfon/","3","1","-2","130","187","57","2,31","0,53","-1,77","16,22","9,33","-6,9"
"https://inservic.com.ua/service/smartphone/","1","0","-1","154","188","34","0,65","0","-0,65","8,69","9,83","1,14"
