"Key","MayClicks","JunClicks","ClickDelta","MayImpressions","JunImpressions","ImpressionDelta","MayCtr","JunCtr","CtrDelta","MayPos","JunPos","PosDelta"
"https://inservic.com.ua/remont-portatyvnykh-zariadnykh-stantsyj/","8","17","9","998","5252","4254","0,8","0,32","-0,48","20,18","23,15","2,97"
"https://inservic.com.ua/ru/remont-2/","17","21","4","1799","3815","2016","0,94","0,55","-0,39","23,4","22,02","-1,37"
"https://inservic.com.ua/ru/service/servysnyj-tsentr-po-remontu-y-obsluzhyv/","3","2","-1","953","1724","771","0,31","0,12","-0,2","27,44","21,36","-6,08"
"https://inservic.com.ua/ru/chystka-noutbuka-y-zamena-termopasty/","5","4","-1","458","1210","752","1,09","0,33","-0,76","15,64","13,52","-2,11"
"https://inservic.com.ua/ru/service/remont-i-obsluzhivanie-telefonov/","3","3","0","351","878","527","0,85","0,34","-0,51","21,96","16,52","-5,44"
"https://inservic.com.ua/ru/remont-jelektrosamokatov-ninebot-v-kharkove/","0","0","0","0","357","357","0","0","0","0","11,58","11,58"
"https://inservic.com.ua/ru/service/remont-jelektrosamokatov-v-kharkove/","0","19","19","0","343","343","0","5,54","5,54","0","7,86","7,86"
"https://inservic.com.ua/ru/service/remont-planshetov-v-kyeve/","0","0","0","54","360","306","0","0","0","28,5","21,86","-6,64"
"https://inservic.com.ua/ru/service/remont-obsluzhyvanyia-kompiuterov-inservice-kha/","2","1","-1","609","906","297","0,33","0,11","-0,22","36,5","20,42","-16,08"
"https://inservic.com.ua/ru/service/remont-bytovoj-tekhnyky-v-kharkove/","1","4","3","592","855","263","0,17","0,47","0,3","28,42","17,28","-11,14"
"https://inservic.com.ua/ru/service/remont-mykrovolnovok-v-kyeve/","0","0","0","106","369","263","0","0","0","43,7","31,15","-12,55"
"https://inservic.com.ua/ru/service/remont-y-obsluzhyvanye-dyzelnykh-ynve/","5","6","1","1534","1794","260","0,33","0,33","0,01","43,13","43,39","0,25"
"https://inservic.com.ua/ru/remont-jelektrosamokatov-xiaomi-v-kharkove/","0","1","1","0","256","256","0","0,39","0,39","0","17,57","17,57"
"https://inservic.com.ua/ru/service/remont-televyzorov-v-kyeve/","1","0","-1","151","404","253","0,66","0","-0,66","55,17","32,36","-22,81"
"https://inservic.com.ua/ru/service/remont-kofemashyn-v-kyeve/","0","0","0","218","443","225","0","0","0","27,12","28,56","1,44"
"https://inservic.com.ua/","37","31","-6","1097","1313","216","3,37","2,36","-1,01","7,15","7,67","0,52"
"https://inservic.com.ua/ru/remont-jelektrosamokatov-kugoo-v-kharkove/","0","10","10","0","186","186","0","5,38","5,38","0","15,19","15,19"
"https://inservic.com.ua/contact/","7","2","-5","314","499","185","2,23","0,4","-1,83","5,33","9,86","4,53"
"https://inservic.com.ua/ru/service/remont-mykrovolnovok/","1","5","4","181","359","178","0,55","1,39","0,84","37,49","30,53","-6,95"
"https://inservic.com.ua/service/remont-smartfoniv-y-kievi/","1","1","0","82","244","162","1,22","0,41","-0,81","21,01","38,9","17,89"
