"Key","MayClicks","JunClicks","ClickDelta","MayImpressions","JunImpressions","ImpressionDelta","MayCtr","JunCtr","CtrDelta","MayPos","JunPos","PosDelta"
"ремонт электросамокатов харьков","15","12","-3","147","163","16","10,2","7,36","-2,84","4,97","5,93","0,95"
"ремонт зарядних пристроїв","2","0","-2","13","13","0","15,38","0","-15,38","8,92","8,77","-0,15"
"ремонт генераторов харьков","5","3","-2","150","129","-21","3,33","2,33","-1,01","7,13","7,52","0,39"
"мастер по компьютеру на дом","2","0","-2","14","13","-1","14,29","0","-14,29","5,43","5,85","0,42"
"ремонт кофемашин в харькове","2","0","-2","9","12","3","22,22","0","-22,22","8","11,75","3,75"
"inservice","11","9","-2","61","57","-4","18,03","15,79","-2,24","2,05","1,95","-0,1"
"ремонт бензинових генераторів харків","2","1","-1","15","15","0","13,33","6,67","-6,67","4,93","3,53","-1,4"
"замена термопасты в ноутбуке","1","0","-1","33","50","17","3,03","0","-3,03","22,55","16,24","-6,31"
"ремонт стиральных машин харьков","1","0","-1","387","22","-365","0,26","0","-0,26","11,94","28,27","16,33"
"ремонт принтера","1","0","-1","9","20","11","11,11","0","-11,11","15,11","9,3","-5,81"
"ремонт техники харьков","1","0","-1","9","24","15","11,11","0","-11,11","14,11","12,79","-1,32"
"ремонт электросамокатов","3","2","-1","68","84","16","4,41","2,38","-2,03","12,6","14,46","1,86"
"ремонт ноутбуків харків","1","0","-1","67","44","-23","1,49","0","-1,49","15,18","14,07","-1,11"
"ремонт бытовой техники харьков","1","0","-1","17","9","-8","5,88","0","-5,88","15,29","13,89","-1,41"
"inservic","1","0","-1","7","0","-7","14,29","0","-14,29","1,14","0","-1,14"
"ремонт ноутбуков харьков алексеевка","1","0","-1","31","11","-20","3,23","0","-3,23","10,55","11,64","1,09"
"ремонт струйных принтеров харьков","1","0","-1","8","22","14","12,5","0","-12,5","11,38","8","-3,38"
"ремонт электроскутеров","1","0","-1","5","23","18","20","0","-20","30,2","26,04","-4,16"
"ремонт телевізорів харків","1","0","-1","49","52","3","2,04","0","-2,04","9,47","8,58","-0,89"
"ремонт принтеров","1","0","-1","22","15","-7","4,55","0","-4,55","19,05","13,33","-5,71"
