"Key","MayClicks","JunClicks","ClickDelta","MayImpressions","JunImpressions","ImpressionDelta","MayCtr","JunCtr","CtrDelta","MayPos","JunPos","PosDelta"
"ремонт телефонів київ","0","0","0","14","167","153","0","0","0","56","49,5","-6,5"
"ремонт ноутбуков харьков","0","1","1","66","166","100","0","0,6","0,6","30,11","19,97","-10,14"
"стоимость чистки ноутбука и замены термопасты","0","0","0","3","85","82","0","0","0","34","9,22","-24,78"
"ремонт принтеров харьков","1","1","0","58","119","61","1,72","0,84","-0,88","10,57","8,55","-2,01"
"чистка ноутбука и замена термопасты цена","0","0","0","12","71","59","0","0","0","57,33","14,1","-43,23"
"ремонт кофемашин","0","0","0","51","108","57","0","0","0","23,92","22,8","-1,13"
"ремонт кондиционеров харьков","1","1","0","11","62","51","9,09","1,61","-7,48","15,45","11,48","-3,97"
"чистка ноутбука с заменой термопасты","0","0","0","3","53","50","0","0","0","32","12,17","-19,83"
"ремонт jackery львов","0","0","0","0","50","50","0","0","0","0","16,72","16,72"
"ремонт электросамокатов kugoo","0","0","0","2","52","50","0","0","0","30,5","20,17","-10,33"
"ремонт портативных зарядных станций одесса","0","0","0","2","51","49","0","0","0","25,5","24,82","-0,68"
"станции вольтроник ремонт","0","0","0","0","49","49","0","0","0","0","17,65","17,65"
"ремонт профессиональных кофемашин киев","0","0","0","2","50","48","0","0","0","37","26,84","-10,16"
"ремонт портативных зарядных станций bluetti ac200l","0","0","0","0","48","48","0","0","0","0","22,33","22,33"
"сервисный центр по ремонту кофемашин","0","0","0","13","61","48","0","0","0","31,38","20,75","-10,63"
"ремонт ninebot es4","0","0","0","0","48","48","0","0","0","0","9,31","9,31"
"диагностика bluetti ep600","0","0","0","0","48","48","0","0","0","0","25,27","25,27"
"сервис bluetti ac60p","0","0","0","1","49","48","0","0","0","27","26,37","-0,63"
"ремонт jackery львів","0","0","0","3","51","48","0","0","0","24,33","13,8","-10,53"
"ninebot es4 ремонт","0","0","0","0","47","47","0","0","0","0","10,64","10,64"
"портативная станция houny ремонт","0","0","0","1","48","47","0","0","0","19","24,44","5,44"
"ремонт портативной зарядной станции bluetti eb3a 600w киев","0","0","0","0","47","47","0","0","0","0","23,26","23,26"
"ремонт компьютеров харьков","0","0","0","57","104","47","0","0","0","17,19","13,33","-3,87"
"сервис зарядных станций junlee","0","0","0","2","49","47","0","0","0","13","19,1","6,1"
"компьютерный сервисный центр","0","0","0","39","86","47","0","0","0","22,56","18,01","-4,55"
"ремонт bluetti ac60p","0","0","0","1","48","47","0","0","0","29","20,54","-8,46"
"ремонт портативных зарядных станций bluetti ac200pl","0","0","0","2","48","46","0","0","0","24,5","25,77","1,27"
"сервис bluetti ep600","0","0","0","0","46","46","0","0","0","0","25,91","25,91"
"станции старк ремонт","0","0","0","0","46","46","0","0","0","0","19,26","19,26"
"ремонт портативных зарядных станций jackery explorer 2000 plus","0","0","0","0","46","46","0","0","0","0","23,07","23,07"
