"№";"Раздел";"Тип";"Slug";"H1 / Название";"Плановый URL / старый URL";"Реальный URL на сайте";"Статус публикации";"Готово к размещению";"Согласовано к размещению";"Размещено на сайте";"Прототип / файл страницы";"SEO-текст";"Семантика";"План текста";"Handoff";"Title";"Description";"Кластер / интент";"Приоритет";"Старый статус";"Следующее действие";"Дата проверки"
"1";"Разделы";"Раздел устройства";"electric-bicycles";"Ремонт электровелосипедов в Харькове";"https://inservic.com.ua/electric-bicycles/";"https://inservic.com.ua/service/remont-elektrovelosypediv-u-kharkovi/";"На сайте, URL отличается";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-bicycles.html";"";"";"";"";"Ремонт электровелосипедов в Харькове — InService";"Прототип отдельной страницы InService по ремонту электровелосипедов в Харькове.";"Ремонт электровелосипедов в Харькове";"P2";"Нужна доработка";"Проверить соответствие прототипу, тексту и визуалу; обновить ссылки в трекере";"2026-07-21"
"2";"Разделы";"Раздел устройства";"electric-scooters";"Ремонт электроскутеров в Харькове";"https://inservic.com.ua/electric-scooters/";"https://inservic.com.ua/service/remont-elektroskuteriv-u-kharkovi/";"На сайте, URL отличается";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-scooters.html";"";"";"";"";"Ремонт электроскутеров в Харькове — InService";"Прототип отдельной страницы InService по ремонту электроскутеров в Харькове.";"Ремонт электроскутеров в Харькове";"P2";"Нужна доработка";"Проверить текст, цены от, бренды и перелинковку с хаба/главной";"2026-07-21"
"3";"Хабы";"Хаб";"electric-transport";"Ремонт электротранспорта в Харькове";"https://inservic.com.ua/electric-transport/";"https://inservic.com.ua/service/rem-el/";"На сайте, URL отличается";"Да, но требует усиления";"Частично";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-transport.html";"";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-electric-transport.html";"";"";"Ремонт электротранспорта в Харькове — InService";"Прототип родительской страницы InService по ремонту электротранспорта в Харькове: типы устройств, этапы развития структуры и главная ветка по электросамокатам.";"Хаб: ремонт электротранспорта";"P2";"Нужна доработка";"Усилить как хаб: ссылки на самокаты, скутеры, велосипеды, будущие гиро/моно страницы";"2026-07-21"
"4";"Поломки";"Поломка / симптом";"elektrosamokat-ne-vmykayetsya-kharkiv";"Електросамокат не вмикається у Харкові";"https://inservic.com.ua/elektrosamokat-ne-vmykayetsya-kharkiv/";"https://inservic.com.ua/elektrosamokat-ne-vmykayetsya-kharkiv/";"На сайте";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-ne-vmykayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-ne-vmykayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-ne-vmykayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-ne-vmykayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-ne-vmykayetsya-kharkiv-handoff.html";"Електросамокат не вмикається у Харкові — діагностика від 100 грн | InService";"Електросамокат не вмикається у Харкові: перевірка акумулятора, BMS, кнопки живлення, дисплея, контролера, проводки та наслідків води. InService, вул. Дерев";"Симптом: электросамокат не включается";"P1";"Готово/черновик";"Проверить title/description, FAQ и ссылки на аккумулятор/контролер";"2026-07-21"
"5";"Поломки";"Поломка / симптом";"elektrosamokat-ne-zaryadzhayetsya-kharkiv";"Електросамокат не заряджається у Харкові";"https://inservic.com.ua/elektrosamokat-ne-zaryadzhayetsya-kharkiv/";"https://inservic.com.ua/elektrosamokat-ne-zaryadzhayetsya-kharkiv/";"На сайте";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-ne-zaryadzhayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-ne-zaryadzhayetsya-kharkiv-handoff.html";"Електросамокат не заряджається у Харкові — діагностика від 100 грн | InService";"Електросамокат не заряджається у Харкові: перевірка зарядного порту, BMS, акумулятора, контролера, проводки та зарядного пристрою. InService, вул. Дерев";"Симптом: электросамокат не заряжается";"P1";"Готово/черновик";"Проверить CTA, FAQ, связку с аккумулятором и контролером";"2026-07-21"
"6";"Поломки";"Поломка / симптом";"elektrosamokat-pislya-vody-kharkiv";"Ремонт електросамоката після води у Харкові";"https://inservic.com.ua/elektrosamokat-pislya-vody-kharkiv/";"https://inservic.com.ua/elektrosamokat-pislya-vody-kharkiv/";"На сайте";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-pislya-vody-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-pislya-vody-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-pislya-vody-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-pislya-vody-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-pislya-vody-kharkiv-handoff.html";"Ремонт електросамоката після води у Харкові — InService";"Електросамокат після води у Харкові: діагностика контролера, акумулятора, BMS, зарядного порту, дисплея, мотор-колеса, проводки та корозії. InService, вул. Дерев";"Симптом: после воды/дождя";"P2";"Готово/черновик";"Проверить текст на переспам и добавить практичные советы после воды";"2026-07-21"
"7";"Разделы";"Раздел устройства";"remont-hiroskuteriv-kharkiv";"Ремонт гіроскутерів і гіробордів у Харкові";"https://inservic.com.ua/service/remont-hiroskuteriv-kharkiv/";"";"SEO-пакет и прототип готовы, не размещено на сайте";"Да";"Нужно проверить";"Нет";"https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-hiroskuteriv-kharkiv.html?rev=a0bb2a8";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-remont-hiroskuteriv-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-remont-hiroskuteriv-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-remont-hiroskuteriv-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\remont-hiroskuteriv-kharkiv-handoff.html";"Ремонт гіроскутерів і гіробордів у Харкові - InService";"Ремонт гіроскутерів, гіробордів і балансбордів у Харкові: АКБ, BMS, плати балансу, мотор-колеса, зарядка, корпус. Діагностика InService.";"Ремонт гіроскутерів/гіробордів: АКБ, BMS, плати балансу, мотор-колеса, зарядка, корпус";"P2";"Создано 22.07.2026";"Передать верстальщику: добавить актуальный адрес из контактного блока сайта, заменить/подтвердить изображение, после публикации поставить ссылки с хаба электротранспорта и главной.";"2026-07-22"
"8";"Разделы";"Раздел устройства";"hoverboards";"Ремонт гіробордів у Харкові";"https://inservic.com.ua/hoverboards/";"";"Пока объединено со страницей гіроскутерів";"Не отдельно";"Нужно решение";"Нет";"https://yaroslav775-eng.github.io/inservic-seo-2026/site/transport/remont-hiroskuteriv-kharkiv.html?rev=a0bb2a8";"";"";"";"";"Не запускать отдельно на этом этапе";"Гіроборди раскрыты внутри общей страницы ремонта гіроскутерів/балансбордів. Отдельный URL делать после подтверждения спроса.";"Подкластер: гіроборди/балансборди, пока внутри общей страницы";"P2";"Нужна доработка";"Не делать дубль сейчас; вернуться после Search Console или отдельной семантики.";"2026-07-22"
"9";"Разделы";"Раздел устройства";"monowheels";"Ремонт моноколес в Харькове";"https://inservic.com.ua/monowheels/";"";"Не найдено на сайте";"Нет";"Нет";"Нет";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\monowheels.html";"";"";"";"";"Ремонт моноколес в Харькове — InService";"Прототип страницы InService по ремонту моноколес в Харькове.";"Ремонт моноколес в Харькове";"P2";"Нужна доработка";"Проверить спрос; если слабый, оставить блоком в хабе";"2026-07-21"
"10";"Узлы";"Узел / компонент";"remont-akumulyatora-elektrosamokata-kharkiv";"Ремонт акумулятора електросамоката у Харкові";"https://inservic.com.ua/remont-akumulyatora-elektrosamokata-kharkiv/";"https://inservic.com.ua/remont-akumulyatora-elektrosamokata-kharkiv/";"На сайте";"Да";"Нужно проверить";"Да";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\remont-akumulyatora-elektrosamokata-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-remont-akumulyatora-elektrosamokata-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-remont-akumulyatora-elektrosamokata-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-remont-akumulyatora-elektrosamokata-kharkiv.html";"C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\remont-akumulyatora-elektrosamokata-kharkiv-handoff.html";"Ремонт акумулятора електросамоката у Харкові — InService";"Ремонт акумулятора електросамоката у Харкові: діагностика батареї, BMS, балансу елементів, глибокого розряду та швидкого розряду. InService, вул. Дерев";"Компонент: аккумулятор/BMS";"P1";"Готово/черновик";"Проверить цены от, BMS/балансировку, гарантию, внутренние ссылки";"2026-07-21"
