"№","Раздел","Тип","Slug","H1 / Название","Файл страницы","URL на сайте","SEO-текст","Семантика","План текста","Handoff","Title","Description","Кластер / интент","Приоритет","Статус","Следующее действие"
"1","Разделы","Раздел устройства","electric-bicycles","Ремонт электровелосипедов в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-bicycles.html","https://inservic.com.ua/electric-bicycles/","","","","","Ремонт электровелосипедов в Харькове — InService","Прототип отдельной страницы InService по ремонту электровелосипедов в Харькове.","Ремонт электровелосипедов в Харькове","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"2","Разделы","Раздел устройства","electric-scooters","Ремонт электроскутеров в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-scooters.html","https://inservic.com.ua/electric-scooters/","","","","","Ремонт электроскутеров в Харькове — InService","Прототип отдельной страницы InService по ремонту электроскутеров в Харькове.","Ремонт электроскутеров в Харькове","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"3","Хабы","Хаб","electric-transport","Ремонт электротранспорта в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\electric-transport.html","https://inservic.com.ua/electric-transport/","","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-electric-transport.html","","","Ремонт электротранспорта в Харькове — InService","Прототип родительской страницы InService по ремонту электротранспорта в Харькове: типы устройств, этапы развития структуры и главная ветка по электросамокатам.","Хаб: ремонт электротранспорта","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"4","Поломки","Поломка / симптом","elektrosamokat-ne-vmykayetsya-kharkiv","Електросамокат не вмикається у Харкові","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-ne-vmykayetsya-kharkiv.html","https://inservic.com.ua/elektrosamokat-ne-vmykayetsya-kharkiv/","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-ne-vmykayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-ne-vmykayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-ne-vmykayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-ne-vmykayetsya-kharkiv-handoff.html","Електросамокат не вмикається у Харкові — діагностика від 100 грн | InService","Електросамокат не вмикається у Харкові: перевірка акумулятора, BMS, кнопки живлення, дисплея, контролера, проводки та наслідків води. InService, вул. Дерев","Симптом: электросамокат не включается","P1","Готово/черновик","Проверить цены/гарантию и связать внутренними ссылками"
"5","Поломки","Поломка / симптом","elektrosamokat-ne-zaryadzhayetsya-kharkiv","Електросамокат не заряджається у Харкові","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","https://inservic.com.ua/elektrosamokat-ne-zaryadzhayetsya-kharkiv/","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-ne-zaryadzhayetsya-kharkiv-handoff.html","Електросамокат не заряджається у Харкові — діагностика від 100 грн | InService","Електросамокат не заряджається у Харкові: перевірка зарядного порту, BMS, акумулятора, контролера, проводки та зарядного пристрою. InService, вул. Дерев","Симптом: электросамокат не заряжается","P1","Готово/черновик","Проверить цены/гарантию и связать внутренними ссылками"
"6","Поломки","Поломка / симптом","elektrosamokat-pislya-vody-kharkiv","Ремонт електросамоката після води у Харкові","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\elektrosamokat-pislya-vody-kharkiv.html","https://inservic.com.ua/elektrosamokat-pislya-vody-kharkiv/","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-elektrosamokat-pislya-vody-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-elektrosamokat-pislya-vody-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-elektrosamokat-pislya-vody-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\elektrosamokat-pislya-vody-kharkiv-handoff.html","Ремонт електросамоката після води у Харкові — InService","Електросамокат після води у Харкові: діагностика контролера, акумулятора, BMS, зарядного порту, дисплея, мотор-колеса, проводки та корозії. InService, вул. Дерев","Симптом: после воды/дождя","P2","Готово/черновик","Проверить цены/гарантию и связать внутренними ссылками"
"7","Разделы","Раздел устройства","gyro-scooters","Ремонт гироскутеров в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\gyro-scooters.html","https://inservic.com.ua/gyro-scooters/","","","","","Ремонт гироскутеров в Харькове — InService","Прототип страницы InService по ремонту гироскутеров в Харькове.","Ремонт гироскутеров в Харькове","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"8","Разделы","Раздел устройства","hoverboards","Ремонт гиробордов в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\hoverboards.html","https://inservic.com.ua/hoverboards/","","","","","Ремонт гиробордов в Харькове — InService","Прототип страницы InService по ремонту гиробордов в Харькове.","Ремонт гиробордов в Харькове","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"9","Разделы","Раздел устройства","monowheels","Ремонт моноколес в Харькове","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\monowheels.html","https://inservic.com.ua/monowheels/","","","","","Ремонт моноколес в Харькове — InService","Прототип страницы InService по ремонту моноколес в Харькове.","Ремонт моноколес в Харькове","P2","Нужна доработка","Проверить актуальность и решить, нужна ли доработка"
"10","Узлы","Узел / компонент","remont-akumulyatora-elektrosamokata-kharkiv","Ремонт акумулятора електросамоката у Харкові","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\site\transport\remont-akumulyatora-elektrosamokata-kharkiv.html","https://inservic.com.ua/remont-akumulyatora-elektrosamokata-kharkiv/","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\ua-seo-text-remont-akumulyatora-elektrosamokata-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\semantic-core-remont-akumulyatora-elektrosamokata-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\strategy\seo-text-plan-remont-akumulyatora-elektrosamokata-kharkiv.html","C:\Users\User\OneDrive\Рабочий стол\inservic-prototype\docs\handoff\remont-akumulyatora-elektrosamokata-kharkiv-handoff.html","Ремонт акумулятора електросамоката у Харкові — InService","Ремонт акумулятора електросамоката у Харкові: діагностика батареї, BMS, балансу елементів, глибокого розряду та швидкого розряду. InService, вул. Дерев","Компонент: аккумулятор/BMS","P1","Готово/черновик","Проверить цены/гарантию и связать внутренними ссылками"
