"Group","From","FromUrl","To","ToUrl","Anchor","Place","Priority","Note"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","ремонт електросамокатів у Харкові","Карточка устройств + блок популярних напрямків","P1","Основная ссылка хаба на материнскую страницу электросамокатов"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","електросамокат не заряджається","Блок типових поломок","P1","Симптом с высоким интентом"
"Хаб","Ремонт електротранспорту у Харкові","/site/transport/electric-transport.html","Ремонт акумулятора електросамоката","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт акумулятора електросамоката","Блок вузлів / акумулятори","P1","Дать ссылку как на узловую услугу"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Електросамокат не заряджається","/site/transport/elektrosamokat-ne-zaryadzhayetsya-kharkiv.html","не заряджається","Блок Поломки / Що ремонтуємо","P0","Карточка поломки должна быть кликабельной"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Електросамокат не вмикається","/site/transport/elektrosamokat-ne-vmykayetsya-kharkiv.html","електросамокат не вмикається","Блок Поломки / Що ремонтуємо","P0","Симптомная страница"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт акумулятора","/site/transport/remont-akumulyatora-elektrosamokata-kharkiv.html","ремонт акумулятора електросамоката","Блок вузлів + SEO-низ","P0","Усилить аккумуляторный кластер"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт контролера","/site/transport/remont-kontrolera-elektrosamokata-kharkiv.html","ремонт контролера електросамоката","Блок вузлів + SEO-низ","P0","Усилить кластер контролера"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Ремонт мотор-колеса","/site/transport/remont-motor-kolesa-elektrosamokata-kharkiv.html","ремонт мотор-колеса електросамоката","Блок вузлів","P0","Узел с понятным техническим интентом"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Після води","/site/transport/elektrosamokat-pislya-vody-kharkiv.html","ремонт електросамоката після води","Блок типових ситуацій","P1","Не перегружать анкорами, одна ссылка достаточно"
"Материнская","Ремонт електросамокатів у Харкові","/site/transport/remont-elektrosamokativ-kharkiv.html","Xiaomi","/site/transport/remont-elektrosamokativ-xiaomi-kharkiv.html","ремонт електросамокатів Xiaomi","Блок популярних брендів","P0","Карточка бренда"
