"N","Page","Slug","TrackerStatus","TrackerPlaced","FoundLive","LiveUrl","Next"
"1","Ремонт электровелосипедов в Харькове","electric-bicycles","На сайте, URL отличается","Да","True","https://inservic.com.ua/service/remont-elektrovelosypediv-u-kharkovi/","Проверить соответствие прототипу, тексту и визуалу; обновить ссылки в трекере"
"2","Ремонт электроскутеров в Харькове","electric-scooters","На сайте, URL отличается","Да","True","https://inservic.com.ua/service/remont-elektroskuteriv-u-kharkovi/","Проверить текст, цены от, бренды и перелинковку с хаба/главной"
"3","Ремонт электротранспорта в Харькове","electric-transport","На сайте, URL отличается","Да","True","https://inservic.com.ua/service/rem-el/","Усилить как хаб: ссылки на самокаты, скутеры, велосипеды, будущие гиро/моно страницы"
"4","Електросамокат не вмикається у Харкові","elektrosamokat-ne-vmykayetsya-kharkiv","На сайте","Да","True","https://inservic.com.ua/elektrosamokat-ne-vmykayetsya-kharkiv/","Проверить title/description, FAQ и ссылки на аккумулятор/контролер"
"5","Електросамокат не заряджається у Харкові","elektrosamokat-ne-zaryadzhayetsya-kharkiv","На сайте","Да","True","https://inservic.com.ua/elektrosamokat-ne-zaryadzhayetsya-kharkiv/","Проверить CTA, FAQ, связку с аккумулятором и контролером"
"6","Ремонт електросамоката після води у Харкові","elektrosamokat-pislya-vody-kharkiv","На сайте","Да","True","https://inservic.com.ua/elektrosamokat-pislya-vody-kharkiv/","Проверить текст на переспам и добавить практичные советы после воды"
"7","Ремонт гіроскутерів і гіробордів у Харкові","remont-hiroskuteriv-kharkiv","SEO-пакет и прототип готовы, не размещено на сайте","Нет","False","","Передать верстальщику: добавить актуальный адрес из контактного блока сайта, заменить/подтвердить изображение, после публикации поставить ссылки с хаба электротранспорта и главной."
"8","Ремонт гіробордів у Харкові","hoverboards","Пока объединено со страницей гіроскутерів","Нет","False","","Не делать дубль сейчас; вернуться после Search Console или отдельной семантики."
"9","Ремонт моноколіс у Харкові","remont-monokolis-kharkiv","SEO-пакет и прототип готовы, не размещено на сайте","Нет","False","","Передать верстальщику: добавить актуальный адрес/график из контактного блока сайта, подтвердить бренды, цены “від” и дополнительные работы по покрышке/камере/плате/корпусу; после публикации поставить ссылки с хаба электротранспорта и главной."
"10","Ремонт акумулятора електросамоката у Харкові","remont-akumulyatora-elektrosamokata-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-akumulyatora-elektrosamokata-kharkiv/","Проверить цены от, BMS/балансировку, гарантию, внутренние ссылки"
"11","Ремонт електросамокатів Crosser у Харкові","remont-elektrosamokativ-crosser-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-elektrosamokativ-crosser-kharkiv/","Проверить уникальность брендового текста и модели"
"12","Ремонт електросамокатів у Харкові","remont-elektrosamokativ-kharkiv","На сайте","Да","True","https://inservic.com.ua/service/remont-elektrosamokativ-kharkiv/","Проверить перелинковку на поломки, бренды и хаб"
"13","Ремонт електросамокатів Kugoo у Харкові","remont-elektrosamokativ-kugoo-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-elektrosamokativ-kugoo-kharkiv/","Проверить уникальность брендового текста и модели Kugoo/KuKirin"
"14","Ремонт електросамокатів Ninebot у Харкові","remont-elektrosamokativ-ninebot-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-elektrosamokativ-ninebot-kharkiv/","Проверить уникальность брендового текста и модели Ninebot/Segway"
"15","Ремонт електросамокатів Xiaomi у Харкові","remont-elektrosamokativ-xiaomi-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-elektrosamokativ-xiaomi-kharkiv/","Проверить уникальность брендового текста и модели Xiaomi"
"16","Ремонт електротранспорту Giant у Харкові","remont-elektrotransportu-giant-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-elektrotransportu-giant-kharkiv/","Проверить, не выбивается ли страница из логики брендов самокатов/велосипедов"
"17","Ремонт контролера електросамоката у Харкові","remont-kontrolera-elektrosamokata-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-kontrolera-elektrosamokata-kharkiv/","Проверить техничность текста и ссылки на симптомы"
"18","Ремонт мотор-колеса електросамоката у Харкові","remont-motor-kolesa-elektrosamokata-kharkiv","На сайте","Да","True","https://inservic.com.ua/remont-motor-kolesa-elektrosamokata-kharkiv/","Проверить спрос и корисность, не раздувать без нужды"
